"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","stateProvince","institutionCode","collectionCode","notes","citation","doi"
2238543477,"84d26682-f762-11e1-a439-00145eb45e9a",8.608638,57.022513,2016,5,26,"Denmark","Atterhøj","DMS-9247092","Lennarth Skov Espersen",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
2238541204,"84d26682-f762-11e1-a439-00145eb45e9a",8.273912,56.809439,2016,6,1,"Denmark","Roddenbjerg","DMS-9246768","Lennarth Skov Espersen",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
1324321858,"7948250c-6958-4a29-a670-ed1015b26252",6.1658,59.2333,2016,8,21,"Norway","Hjelmelandsvågen, at the ferry quay","205002","S. Rui, E. Timdal","Rogaland","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1324321859,"7948250c-6958-4a29-a670-ed1015b26252",6.1908,59.155,2016,8,21,"Norway","Årdal church","204998","S. Rui, E. Timdal","Rogaland","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1675789042,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.72625,43.818,2016,8,26,"Russian Federation","Aue des Bsy&#269; kurz vor der Mündung in den Schache","48941-771",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675789066,"828a3d8c-f762-11e1-a439-00145eb45e9a",39.967867,44.197117,2016,8,19,"Russian Federation","Mezmai, hinter dem Grundstück des Atamans Skworzow","48678-771",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2238533549,"84d26682-f762-11e1-a439-00145eb45e9a",10.315501,57.468081,2016,9,24,"Denmark","Tolne Kirkeby","DMS-9237716","Susanne Rabenborg",NA,NA,NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Frøslev T G, Heilmann-Clausen J, Lange C, Læssøe T, Petersen J H, Søchting U, Jeppesen T S, Vesterholt J (2020). Danish Mycological Society, fungal records database. Danish Mycological Society. Occurrence dataset https://doi.org/10.15468/zn159h accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zn159h"
1323867724,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.25438,58.342784,2016,10,10,"Norway","Lundaknuden S","JK16-860","Klepsland, Jon T.","Rogaland","BioFokus","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1323867727,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.255049,58.344505,2016,10,10,"Norway","Lundaknuden","JK16-861","Klepsland, Jon T.","Rogaland","BioFokus","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
2013152013,"7948250c-6958-4a29-a670-ed1015b26252",6.2544,58.3428,2016,10,10,"Norway","Lundaknuden S","222894","Jon T. Klepsland","Rogaland","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152024,"7948250c-6958-4a29-a670-ed1015b26252",6.2551,58.3445,2016,10,10,"Norway","Lundaknuden","222895","Jon T. Klepsland","Rogaland","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1836420352,"85739778-f762-11e1-a439-00145eb45e9a",5.31,52.1517,2016,12,27,"Netherlands","THE NETHERLANDS, Utrecht: Soest, nature reserve Korte Duinen, afforestation in former Zonnegloren area. Alt. 10 m.","195608","H. Sipman & A. Aptroot",NA,"B","Lichen Herbarium Berlin","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Botanic Garden and Botanical Museum Berlin (2016). Lichens at Herbarium Berolinense, Berlin (B). Occurrence dataset https://doi.org/10.15468/gmyyyu accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gmyyyu"
1324743719,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.8402,58.83739,2015,1,23,"Norway","SØ-siden av Kyllesvatnet","99753","Johnsen, J.I.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1324743738,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.83468,58.84085,2015,1,23,"Norway","SV-siden av Kyllesvatnet","99754","Johnsen, J.I.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1675788158,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.294635,50.156017,2015,1,9,"Germany","Hoher Taunus, das Theißtal westl. von Niedernhausen, Feldkreuz bei den Fischteichen","221523",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1324743783,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.70423,59.33639,2015,7,11,"Norway","Espevik, Stølen","99922","Johnsen, J.I.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1324743512,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.26035,58.36715,2015,9,15,"Norway","Regeland","99414","Johnsen, J.I.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1324743561,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.26035,58.36715,2015,9,15,"Norway","Regeland","99413","Johnsen, J.I.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1324743712,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",6.14652,58.37904,2015,9,15,"Norway","Åvendal","99752","Johnsen, J.I.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1324743788,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.78691,58.72014,2015,11,3,"Norway","Hadland","99929","Johnsen, J.I.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
2399149151,"b124e1e0-4755-430f-9eab-894f25a9b59c",5.657194,58.969243,2015,12,14,"Norway","Krossberg, Stavanger, Ro","13580746","Endre Nygaard","Rogaland","nbf","so2-lichens","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1324743697,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.77664,58.88705,2014,1,12,"Norway","Dale, ved Holmavika","99684","Johnsen, J.I.","Rogaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
1041911576,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.7313,58.8468,2014,3,5,"Norway","Sandveparken","652222/1","Harald Vik-Mo","Rogaland","TRH","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041929030,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.6847,58.6419,2014,3,25,"Norway","Åna fengsel i Hå kommune","652214/1","Harald Vik-Mo","Rogaland","TRH","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041931268,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.6177,58.6276,2014,3,3,"Norway","Hobberstad i Hå kommune.","652228/1","Harald Vik-Mo","Rogaland","TRH","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2437258117,"4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4",26.939917,52.080194,2014,5,7,"Belarus","Stolin district, village neighborhood Magilno. Landscape Reserve ""Srednya Pripyat"".","MEL 2380880A","Yatsyna, A.P.",NA,"MEL","MEL","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Australia's Virtual Herbarium (2020). MEL AVH data. Occurrence dataset https://doi.org/10.15468/rhzrxw accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/rhzrxw"
2013152154,"7948250c-6958-4a29-a670-ed1015b26252",6.2532,58.3322,2014,8,13,"Norway","Immerstein S (Rekefjord)","223093","Jon T. Klepsland","Rogaland","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
2013152161,"7948250c-6958-4a29-a670-ed1015b26252",6.2548,58.3326,2014,8,13,"Norway","Immerstein S (Rekefjord)","223091","Jon T. Klepsland","Rogaland","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1041934774,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.7183,58.6787,2013,4,11,"Norway","Risaskogen i Hå kommune.","651935/1","Harald Vik-Mo","Rogaland","TRH","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1054003595,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",6.552274,58.214122,2013,4,9,"Norway","Hersdalen (Risåsen V, Hidra)","JK13-L027","Klepsland, Jon T.","Vest-Agder","BioFokus","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1324318895,"7948250c-6958-4a29-a670-ed1015b26252",6.5523,58.2142,2013,4,9,"Norway","Hersdalen (Risåsen V, Hidra)","197837","Jon T. Klepsland","Vest-Agder","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1675788222,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.20945,43.06,2013,6,26,"France","unterhalb von Uztarrazu","42983",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788273,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.63275,43.316867,2013,6,25,"France","La Rhune (Berg), Nordseite","42652",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1054224193,"2e4cc37b-302e-4f1b-bbbb-1f674ff90e14",7.396684,58.055737,2013,7,2,"Norway","Isumstadvatnet SV","JK13-L274","Klepsland, Jon T.","Vest-Agder","BioFokus","BioFokus","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Blindheim T (2020). BioFokus. Version 1.1574. BioFokus. Occurrence dataset https://doi.org/10.15468/jxbhqx accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/jxbhqx"
1324319151,"7948250c-6958-4a29-a670-ed1015b26252",7.3967,58.0557,2013,7,2,"Norway","Isumstadvatnet SV","198077","Jon T. Klepsland","Vest-Agder","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1675788321,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.778583,50.635633,2013,8,31,"Germany","[Stützerbach am Rennsteig], am ""Mordfleck""","44029",NA,NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2265682563,"7948250c-6958-4a29-a670-ed1015b26252",6.1175,58.8938,2013,9,23,"Norway","Forsandåna N for Uburen","209023","Anders Breili","Rogaland","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1324319496,"7948250c-6958-4a29-a670-ed1015b26252",5.9336,59.0763,2013,10,10,"Norway","Rongetjørna SØ","198478","Jon T. Klepsland","Rogaland","O","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1324742099,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",5.22085,60.60173,2013,10,27,"Norway","Ytre Fosse","96450","Overvoll, O.","Hordaland","BG","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","University of Bergen: University Museum (2020). Lichen herbarium, UiB. Version 1.926. Occurrence dataset https://doi.org/10.15468/gpfklm accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gpfklm"
