"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode"
NA,NA,6.457255,49.845674,NA,1954,"15. Okt.",NA,"GERMANY","97768","H. Breuer","BERLIN_DB",NA,"DEUTSCHLAND, Rheinland-Pfalz: Kr. Bitburg, Irrel, Güntherhof.","BERLIN_DB","B 60 0141457"
1099107177,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.494261,47.553638,NA,1952,"7",2,"Germany","M-0196609 / 581243 / 253093","Schröppel, A.","SNSB-M","BSMlichenscoll","Allgäu, Bärenmossalm bei Pfronten, Lks Füssen, ± 1400 mtr.","GBIF",NA
1099107174,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.776772,47.538525,NA,1952,NA,NA,"Germany","M-0196616 / 581247 / 253097","Klement, O.","SNSB-M","BSMlichenscoll","Allgäu: Kr. Füssen, Blöckenau oberh. d. Hütte, 1200 m.","GBIF",NA
NA,NA,9.083063,49.647163,NA,1951,"1. Mai",NA,"GERMANY","100678","Otto Behr","BERLIN_DB",NA,"DEUTSCHLAND, Hessen: Krs. Erbach-Odenwald, Würzberg, Wegrand im Walde. Alt. 500 m.","BERLIN_DB","B 60 0091153"
NA,NA,10.357287,47.484164,NA,1951,"26-Jul",NA,"GERMANY","118059","V. J. Grummann","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: Allgäuer Alpen, Imberger Horn. Alt. c. 1600 m.","BERLIN_DB",""
1273866781,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.543333,48.761111,"Baden-Württemberg",1949,"4",13,"Germany","1884364","E. Putzler","LD","General","Wildbader Kopf","GBIF",NA
1099107242,"7ba21c92-f762-11e1-a439-00145eb45e9a",13.13555,49.112762,NA,1949,"10",NA,"Germany","M-0196617 / 581248 / 253098","Hübschmann, A. v.","SNSB-M","BSMlichenscoll","Oberpfalz, Bayrischer Wald, Gr. Arber. In 1000 mt Höhe.","GBIF",NA
1099104848,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.348104,47.491852,NA,1948,NA,NA,"Germany","M-0103158 / 538096 / 221199","Mägdefrau, K.","SNSB-M","BSMlichenscoll","Fl. v. Bayern. Mittenwald: Am Soiernsee. 1540 m.","GBIF",NA
NA,NA,10.32107,50.109657,NA,1948,"15. Aug.",NA,"GERMANY","22255","O. Behr","BERLIN_DB",NA,"DEUTSCHLAND, HESSEN. Krs. Erbach-Odenwald. Hesselbach. Alt. 300 m.","BERLIN_DB",""
1099107176,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.346645,47.516113,NA,1947,"5",26,"Germany","M-0196576 / 581234 / 253084","Poelt, J.","SNSB-M","BSMlichenscoll","Oberbayern, Karwendelg. - Soierngruppe, Aufstieg zur Fischbachalm, ±1200 m.","GBIF",NA
1099104983,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.003923,47.549583,NA,1947,"10",15,"Germany","M-0103155 / 538094 / 221197","Poelt, J.","SNSB-M","BSMlichenscoll","Oberbayern: Ammergauer Alpen, Weg von der Notkarspitze nach Farchant.","GBIF",NA
1099104840,"7ba21c92-f762-11e1-a439-00145eb45e9a",12.895803,47.621948,NA,1947,"12",28,"Germany","M-0103156 / 580496 / 252347","Poelt, J.","SNSB-M","BSMlichenscoll","Oberbayern bei Ettlerlehen oberh. Ramsau.","GBIF",NA
NA,NA,9.108533,51.095168,NA,1938,"29-May",NA,"GERMANY","85044","F. Pusch","BERLIN_DB",NA,"DEUTSCHLAND, Hessen: Talgraben in the protected area ""Sondertal und Talgraben bei Bad Wildungen"" near Bad Wildungen.","BERLIN_DB","B 60 0132218"
NA,NA,6.829418,50.197155,NA,1936,"8.1936",NA,"Deutschland",NA,"Baschant","BERLIN_HTL",NA,"Eifel, Daun","BERLIN_HTL",NA
152959784,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078647,46.299642,NA,1935,"4",2,"Slovenia","F774564","Dolšak F.","ULBF-AGR","FloVegSI-FLO",NA,"GBIF",NA
1099106018,"7ba21c92-f762-11e1-a439-00145eb45e9a",6.723354,45.37188,NA,1928,"9",NA,"France","M-0196140 / 580845 / 252695","Schmidt, A.","SNSB-M","BSMlichenscoll","Savoyische Alpen: Pralognan, Forêt d'Isertan.","GBIF",NA
NA,NA,11.122195,47.46491,NA,1922,"17 Apr.",NA,"GERMANY","116384","Mixe in herb. V. J. Grummann","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: Bayrische Alpen, Partnachklamm hinter Garmisch-Partenkirchen.","BERLIN_DB",""
1099104846,"7ba21c92-f762-11e1-a439-00145eb45e9a",12.879496,48.96505,NA,1918,"8",NA,"Germany","M-0103171 / 538108 / 221211","Gerstlauer, L.","SNSB-M","BSMlichenscoll","Hirschenstein.","GBIF",NA
1099107244,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.02305,47.554798,NA,1916,"8",11,"Germany","M-0196604 / 581241 / 253091","Hoock, G.","SNSB-M","BSMlichenscoll","Bayern, Oberstaufen; Zwischen den Alpen Raucheck & Siche, 1000 m.","GBIF",NA
1273868051,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.15808,46.22763,"Friuli-Venezia Giulia",1915,"8",NA,"Italy","1896392","J. Hruby","LD","General","No locality information available","GBIF",NA
1273868053,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.90538,46.77217,"Kärnten",1915,"8",NA,"Austria","1896264","J. Hruby","LD","General","No locality information available","GBIF",NA
1273866883,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.15808,46.22763,"Friuli-Venezia Giulia",1915,"12",NA,"Italy","1884428","J. Hruby","LD","General","No locality information available","GBIF",NA
1273866888,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.15808,46.22763,"Friuli-Venezia Giulia",1915,"12",NA,"Italy","1884620","J. Hruby","LD","General","No locality information available","GBIF",NA
NA,NA,10.305232,50.709771,NA,1915,"1 Aug.",NA,"GERMANY","1913","Th. Reinstein","BERLIN_DB",NA,"DEUTSCHLAND, Thüringen: Thüringer Wald, Zillbacher Forst (Umg. Schmalkalden).","BERLIN_DB",""
442148668,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.838056,47.823334,NA,1914,"6",28,"Germany","B 60 0128248 / 152882 / 92776","Lettau, G.","B","Blettaucoll","Schwarzwald: Heubronner Eck (Belchen), 950 m.","GBIF",NA
NA,NA,10.435196,50.742215,NA,1914,"13 Dec.",NA,"GERMANY","1933","Th. Reinstein","BERLIN_DB",NA,"DEUTSCHLAND: Ehrenthal (verm. nahe Schmalkalden, Thüringen).","BERLIN_DB",""
442148671,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.8525,47.734722,NA,1913,"8",31,"Germany","B 60 0128249b / 152894 / 92783","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 3) Am Zeller Blauen, 1000 m.","GBIF",NA
442148667,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.740833,47.644165,NA,1912,"1",NA,"Germany","B 60 0128247 / 152880 / 92775","Lettau, G.","B","Blettaucoll","Baden: Häfnetbuck bei Steinen","GBIF",NA
442148670,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.053611,47.859444,NA,1912,"7",28,"Germany","B 60 0128249a / 152892 / 92782","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 2) Hirschbäder am Feldberg","GBIF",NA
442148596,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.928333,47.71389,NA,1912,"9",15,"Germany","B 60 0000341 / 152861 / 92765","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 1) Gersbacher Wald (Rohrenkopf)","GBIF",NA
442148598,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.928333,47.71389,NA,1912,"9",15,"Germany","B 60 0000341x / 153337 / 92949","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 1) Gersbacher Wald (Rohrenkopf)","GBIF",NA
NA,NA,10.482549,50.701782,NA,1912,"29 Dec.",NA,"GERMANY","1990","Th. Reinstein","BERLIN_DB",NA,"DEUTSCHLAND, Thüringen: Thüringer Wald, Mittelstiller Wald (bei Schmalkalden).","BERLIN_DB",""
442148669,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.8525,47.734722,NA,1911,"5",25,"Germany","B 60 0128249 / 152884 / 92777","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 1) Zeller Blauen - Neuenweg","GBIF",NA
442148597,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.779444,47.791389,NA,1910,"5",15,"Germany","B 60 0000341a / 152862 / 92766","Lettau, G.","B","Blettaucoll","[Schwarzwald] Baden: 2) Köhlgarten","GBIF",NA
442148672,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.8725,47.714722,NA,1910,"7",17,"Germany","B 60 0128250 / 152886 / 92778","Lettau, G.","B","Blettaucoll","Schwarzwald: Zell im Wiesental - Hohe Möhr, 700 m.","GBIF",NA
1273866914,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.783333,47.609444,"Steiermark",1904,NA,NA,"Austria","1884812","[missing]","LD","General","Bad Aussee","GBIF",NA
1099107192,"7ba21c92-f762-11e1-a439-00145eb45e9a",12.804995,47.940544,NA,1903,"6",26,"Germany","M-0196565 / 581231 / 253081","Weber, H.","SNSB-M","BSMlichenscoll","Flora von Bayern, Kirchstein.","GBIF",NA
1099107193,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.588945,48.016384,NA,1900,"6",NA,"Germany","M-0196590 / 581239 / 253089","Arnold, F.","SNSB-M","BSMlichenscoll","Fichtenzweig westlich von Deisenhofen. München.","GBIF",NA
1099107182,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.362352,47.999847,NA,1897,"8",NA,"Germany","M-0196587 / 581238 / 253088","Arnold, F.","SNSB-M","BSMlichenscoll","Bretterzaun in Percha bei Starnberg. München.","GBIF",NA
1099104859,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.184254,48.894814,NA,1897,NA,NA,"Germany","M-0103159 / 538097 / 221200","Arnold, F.","SNSB-M","BSMlichenscoll","Eisenpfosten des Parkzauns bei Eichstätt.","GBIF",NA
1099104856,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.403894,48.058395,NA,1893,"5",7,"Germany","M-0103163 / 538101 / 221204","Arnold, F.","SNSB-M","BSMlichenscoll","Im Buchendorfer Gemeindewalde München.","GBIF",NA
1099107180,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.458483,47.990887,NA,1892,"4",16,"Germany","M-0196566 / 581232 / 253082","Schnabl, J.N.","SNSB-M","BSMlichenscoll","Schäftlarn.","GBIF",NA
1099104852,"7ba21c92-f762-11e1-a439-00145eb45e9a",13.035416,49.056068,NA,1891,NA,NA,"Germany","M-0103172 / 538109 / 221212","Lederer, M.","SNSB-M","BSMlichenscoll","Böbrach.","GBIF",NA
919003028,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.254717,50.89445,NA,1890,NA,NA,"Germany","19068",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Großer Winterberg","GBIF",NA
1273866813,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.65552,47.41817,"Zürich",1889,"4",4,"Switzerland","1884748","K. Forster","LD","General","No locality information available","GBIF",NA
1273866991,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.65552,47.41817,"Zürich",1889,"4",4,"Switzerland","1884684","K. Forster","LD","General","No locality information available","GBIF",NA
1099107179,"7ba21c92-f762-11e1-a439-00145eb45e9a",12.162638,49.354137,NA,1889,"8",NA,"Germany","M-0196580 / 581235 / 253085","Arnold, F.","SNSB-M","BSMlichenscoll","Beim Meilenstein von der Grenze zwischen Freihöls und Hillersdorf. Oberpfalz.","GBIF",NA
