"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","stateProvince","collectionCode","DB","BBarcode","b1test","name"
1717204638,"cef8bb20-149a-11de-bab0-b8a03c50a862",16.826168,50.230893,2004,"5",27,"Poland","p: dolnośląskie; c: Kłodzko; Kamienica Valley",NA,"Szczepańska, K.","MNHW","dolnośląskie",NA,"GBIF",NA,40,"Thelotrema lepadinum"
1500365478,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",10.834722,47.491667,2004,"9",5,"Austria","Tyrol, Eastern Alps, Northern Limestone Alps, Ammergau Alps","E00817849","Hafellner, Joseph","E",NA,"E","GBIF",NA,53,"Thelotrema lepadinum"
2270704957,"98bceab6-3c3e-4163-945d-6ca10576ebf1",10.9,47.538889,2004,"9",5,"Germany","Ammergauer Alpen, 15 km ESE of Füssen, uppermost valley of the rivulet Linder, Neualmgrieß","563562","W. Obermayer","ASU","Bavaria",NA,"GBIF",NA,36,"Thelotrema lepadinum"
918998565,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.8375,47.495833,2004,"9",5,"Austria","Planseegebiet, Aufstieg zur Kuhklause/Melkalpe","16552",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,53,"Thelotrema lepadinum"
918998577,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.9,47.533333,2004,"9",5,"Germany","Allgäu, Lindertal","16580",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,36,"Thelotrema lepadinum"
NA,NA,10.902493,47.540557,2004,"5 Sep.",NA,"GERMANY","GERMANY, Bayern (=Bavaria), Ammergauer Alpen (Ammergebirge), 15 km ESE of Füssen, uppermost valley of the rivulet Linder, Neualmgrieß. Alt. 1050-1100 m.","138522","W. Obermayer","BERLIN_DB",NA,NA,"BERLIN_DB","",36,"Thelotrema lepadinum"
1717205129,"cef8bb20-149a-11de-bab0-b8a03c50a862",16.966168,50.233395,2003,"7",7,"Poland","p: dolnośląskie; c: Kłodzko; Nowa Morawa Nature Reserve",NA,"Szczepańska, K.","MNHW","dolnośląskie",NA,"GBIF",NA,40,"Thelotrema lepadinum"
152957225,"89579e3e-f762-11e1-a439-00145eb45e9a",14.411987,45.699727,2003,"8",13,"Slovenia","Velika Kalvarija","F1021391","Pruegger J.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,70,"Thelotrema lepadinum"
152958132,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911995,46.399623,2002,"5",17,"Slovenia","Stara Fužina","F956306","Mrak T.","ULBF-AGR","Gorenjska","FloVegSI-FLO","GBIF",NA,43,"Thelotrema lepadinum"
2028358554,"ee4d0706-38af-4bc4-8539-e17c0ca8512e",14.706944,47.5875,2002,"8",26,"Austria","Eastern Alps, Nördliche Kalkapen, Ennstaler Alpen, Gesäuse, Hartelsgraben ca. 3 km W of Hieflau, just N of the second bridge","47538","Miadlikowska, Jolanta; Hafellner, J.","DUKE","Styria (Steiermark)",NA,"GBIF",NA,41,"Thelotrema lepadinum"
20093274,"fb1ecd28-f09e-4747-8bde-0b3d7a6f78d1",13.3,49.0833,1999,"10",11,"Germany","Niederbayern, Lkr. Regen, Nationalpark Bayerische Wald, NE of Zwiesel, NE of Mt. Grosser Falkenstein, nature reserve Höllbachgespreng, NE of dam Höllbachschwelle, along footpath E of brook Höllbach","49345","Tønsberg, T.","BG","Bayern","L","GBIF",NA,51,"Thelotrema lepadinum"
1100013197,"858c1c6c-f762-11e1-a439-00145eb45e9a",15.25,47.549999,1996,"6",14,"Austria","Austria. Steiermark, Hochschwab group, Fölz NW of Aflenz, in the lowest part of Mitterbachgraben W of Gasthof Schwabenbartl. 47°34'15''N 15°19'30''E. Alt. 860 m On Fagus in a Fagus-Picea abies forest.","M-0043387 / 16544 / 10527","Hafellner, J.","SNSB-M",NA,"BSMlichfungicoll","GBIF",NA,45,"Thelotrema lepadinum"
2266280046,"219cedbf-462b-42e6-957b-c4b6087c452b",15.35,46.466667,1996,"8",27,"Slovenia","Pohorje, E of Koca Na Pesku","881717","Cole, M.","MIN",NA,"Lichens","GBIF",NA,38,"Thelotrema lepadinum"
152957814,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745342,46.499604,1996,"10",11,"Slovenia",NA,"F778067","Surina B.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,58,"Thelotrema lepadinum"
152957815,"89579e3e-f762-11e1-a439-00145eb45e9a",13.911986,46.499611,1996,"10",13,"Slovenia",NA,"F778634","Surina B.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,55,"Thelotrema lepadinum"
1212249008,"85739778-f762-11e1-a439-00145eb45e9a",14.6833,47.6917,1995,"5",3,"Austria","AUSTRIA, Steiermark, Ennstaler Alpen, 3.5 km E of St. Gallen, Wolfsbachgraben. Alt. 500 m.","138294","H. Mayrhofer & G. Böttger","B",NA,"Lichen Herbarium Berlin","GBIF",NA,66,"Thelotrema lepadinum"
152957817,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411784,46.499674,1995,"6",4,"Slovenia",NA,"F779019","Mayrhofer H.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,39,"Thelotrema lepadinum"
152957822,"89579e3e-f762-11e1-a439-00145eb45e9a",14.911928,45.599759,1995,"6",15,"Slovenia",NA,"F779390","Mayrhofer H., Batič F., Grube M., Suppan U.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,99,"Thelotrema lepadinum"
152957823,"89579e3e-f762-11e1-a439-00145eb45e9a",14.745284,45.599752,1995,"6",15,"Slovenia",NA,"F779411","Mayrhofer H., Batič F., Grube M., Suppan U.","ULBF-AGR","Dolenjska","FloVegSI-FLO","GBIF",NA,70,"Thelotrema lepadinum"
152957824,"89579e3e-f762-11e1-a439-00145eb45e9a",14.745275,45.69974,1995,"6",15,"Slovenia",NA,"F779457","Mayrhofer H., Batič F., Grube M., Suppan U.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,79,"Thelotrema lepadinum"
1717231591,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"5",13,"Poland","res. Budzisk",NA,"K. Kolanko","UoB-IB","podlaskie",NA,"GBIF",NA,64,"Thelotrema lepadinum"
152957798,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411775,46.599662,1992,"8",27,"Slovenia",NA,"F774710","Koch M., Koch E.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,71,"Thelotrema lepadinum"
NA,NA,12.819813,47.67829,1989,"15. sept.",NA,"GERMANY","GERMANY, BAYERN. Berchtesgaden. Unterjettenberg. Alt. 550 m. Near margin of old deciduous forest on mountain slope with pasturefields.","38641","H. Sipman","BERLIN_DB",NA,NA,"BERLIN_DB","",72,"Thelotrema lepadinum"
2270741914,"98bceab6-3c3e-4163-945d-6ca10576ebf1",9.783333,47.133333,1986,"7",28,"Austria","Rätikon, SSW of Nenzing, Gumperdona Valley, Stop 3","577259","T.H. Nash III","ASU","Vorarlberg",NA,"GBIF",NA,65,"Thelotrema lepadinum"
NA,NA,7.449327,53.403314,1986,"17-May",NA,"GERMANY","DEUTSCHLAND, Niedersachsen. Ihlower Forst, Abt. 6/7.  Lindenallee.","19420","Hans-Wilhelm LINDERS","BERLIN_DB",NA,NA,"BERLIN_DB","",88,"Thelotrema lepadinum"
NA,NA,8.137897,52.906608,1985,"24 Nov.",NA,"GERMANY","DEUTSCHLAND, Niedersachsen. NSG Baumweg. An Quercus.","16556","Hans-Wilhelm LINDERS","BERLIN_DB",NA,NA,"BERLIN_DB","",85,"Thelotrema lepadinum"
2513360626,"15f819bd-6612-4447-854b-14d12ee1022d",5.683333,52.266667,1979,"4",7,"Netherlands","Houtdorp bij Garderen in Speulderbos.","L.1037955","Wolters HJ",NA,"Gelderland","Botany","GBIF",NA,90,"Thelotrema lepadinum"
918998641,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.998617,48.920283,1978,"5",3,"Slovakia","Velká Fatra, in decl. boreooccid. montis Tlstá","18083",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,48,"Thelotrema lepadinum"
2237866168,"84d26682-f762-11e1-a439-00145eb45e9a",11.11026,54.74513,1977,"7",24,"Denmark","Lindeskov (Rudbjerggård Østerskov)","DMS-1004684","Mogens Skytte Christiansen",NA,NA,NA,"GBIF",NA,82,"Thelotrema lepadinum"
152957808,"89579e3e-f762-11e1-a439-00145eb45e9a",15.078556,45.799742,1975,"9",19,"Slovenia",NA,"F775922","Batič F.","ULBF-AGR",NA,"FloVegSI-FLO","GBIF",NA,102,"Thelotrema lepadinum"
NA,NA,19.133333,49.433333,1972,"9.6.1972",NA,"Polen","near Soblówka",NA,"J. Nowak","BERLIN_HTL",NA,NA,"BERLIN_HTL",NA,59,"Thelotrema lepadinum"
918998567,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.043333,46.82555,1971,"9",13,"Switzerland","Sörenberg e, im Merliwald","802",NA,"FR",NA,"Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,37,"Thelotrema lepadinum"
