"TaxonSearched","taxonKey","Occs","Pre1900","Pre1930","Pre1950","Pre1970","Pre1980","1800to1809","1810to1819","1820to1829","1830to1839","1840to1849","1850to1859","1860to1869","1870to1879","1880to1889","1890to1899","1900to1909","1910to1919","1920to1929","1930to1939","1940to1949","1950to1959","1960to1969","1970to1979","1980to1989","1990to1999","2000to2009","2010to2019"
"Parmotrema pseudoreticulatum",3407489,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,4
"Parmotrema reticulatum",6017788,124,2,4,11,20,25,0,0,0,0,0,0,0,0,2,0,0,0,2,0,7,3,6,5,6,49,4,40
"Pertusaria hymenea",2599924,556,55,101,243,265,338,0,0,3,0,1,10,3,13,13,12,15,19,12,16,126,12,10,73,16,82,72,48
"Pertusaria trachythallina",2600154,6,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1
"Phaeographis inusta",7823436,30,0,0,2,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,14,1,1,7,0
"Physcia tribacioides",2608909,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5
"Porina leptalea",2602246,54,4,5,5,5,9,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,4,0,4,12,29
"Punctelia borreri",2605241,57,3,5,7,10,14,0,0,0,0,0,0,0,0,0,3,0,0,2,1,1,1,2,4,17,7,11,8
"Punctelia jeckeri",2605247,87,1,2,17,25,30,0,0,0,0,0,0,0,0,0,1,0,0,1,3,12,7,1,5,1,0,10,46
"Punctelia subrudecta",2605209,415,8,25,43,56,73,0,0,0,0,0,0,2,2,3,1,4,9,4,6,12,10,3,17,81,105,60,96
"Pyrenula nitida",2598866,478,61,130,264,285,309,0,0,0,0,0,9,8,22,9,13,20,29,20,23,111,10,11,24,26,80,26,37
"Pyrenula nitidella",2598855,81,4,18,37,41,46,1,0,0,0,0,1,0,0,0,2,1,11,2,4,15,3,1,5,7,16,5,7
"Ropalospora viridis",8147668,358,0,2,2,3,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,13,131,69,75,67
"Schismatomma decolorans",2592850,93,0,3,5,9,10,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,2,1,33,35,12,3
"Thelotrema lepadinum",2601714,918,69,113,187,232,307,2,0,1,0,0,9,6,18,26,7,13,18,13,28,46,12,33,75,60,234,187,130
"Usnea florida",2606038,422,77,138,188,213,227,1,0,0,2,2,19,6,11,19,17,10,24,27,38,12,9,16,14,21,42,90,42
